date,home_team,away_team,home_goals,away_goals,home_xg,away_xg,result
2025-12-03,Ath Bilbao,Real Madrid,0,3,0.917315,2.36743,A
2025-12-05,Oviedo,Mallorca,0,0,1.60009,0.617185,D
2025-12-06,Villarreal,Getafe,2,0,0.816941,0.282254,H
2025-12-06,Alaves,Sociedad,1,0,1.88765,1.09935,H
2025-12-06,Betis,Barcelona,3,5,2.74214,3.30288,A
2025-12-06,Ath Bilbao,Ath Madrid,1,0,1.18636,0.771885,H
2025-12-07,Elche,Girona,3,0,1.59513,0.781043,H
2025-12-07,Valencia,Sevilla,1,1,1.23901,0.635478,D
2025-12-07,Espanol,Vallecano,1,0,1.57985,0.285545,H
2025-12-07,Real Madrid,Celta,0,2,2.41681,1.60908,A
2025-12-08,Osasuna,Levante,2,0,1.74988,0.544977,H
2025-12-12,Sociedad,Girona,1,2,1.02349,1.16894,A
2025-12-13,Ath Madrid,Valencia,2,1,2.07076,1.26068,H
2025-12-13,Mallorca,Elche,3,1,2.581,0.311674,H
2025-12-13,Barcelona,Osasuna,2,0,2.14468,0.228217,H
2025-12-13,Getafe,Espanol,0,1,0.305925,0.75472,A
2025-12-14,Sevilla,Oviedo,4,0,2.31899,0.416975,H
2025-12-14,Celta,Ath Bilbao,2,0,1.97074,1.66561,H
2025-12-14,Alaves,Real Madrid,1,2,1.313,1.90656,A
2025-12-15,Vallecano,Betis,0,0,2.1848,0.788766,D
2025-12-19,Valencia,Mallorca,1,1,2.16012,0.199412,D
2025-12-20,Oviedo,Celta,0,0,0.517531,0.600009,D
2025-12-20,Levante,Sociedad,1,1,1.22005,1.62986,D
2025-12-20,Osasuna,Alaves,3,0,2.39145,0.718671,H
2025-12-20,Real Madrid,Sevilla,2,0,4.00139,1.51418,H
2025-12-21,Girona,Ath Madrid,0,3,1.11565,1.26201,A
2025-12-21,Villarreal,Barcelona,0,2,2.16466,3.27381,A
2025-12-21,Elche,Vallecano,4,0,3.66996,1.14923,H
2025-12-21,Betis,Getafe,4,0,3.46022,1.24726,H
2025-12-22,Ath Bilbao,Espanol,1,2,1.72282,0.908988,A
2026-01-02,Vallecano,Getafe,1,1,0.662324,0.663898,D
2026-01-03,Celta,Valencia,4,1,2.59029,1.79296,H
2026-01-03,Osasuna,Ath Bilbao,1,1,0.868051,1.554,D
2026-01-03,Elche,Villarreal,1,3,1.52119,2.635,A
2026-01-03,Espanol,Barcelona,0,2,1.79661,2.94252,A
2026-01-04,Sevilla,Levante,0,3,1.66562,1.65102,A
2026-01-04,Real Madrid,Betis,5,1,3.0073,0.974623,H
2026-01-04,Alaves,Oviedo,1,1,1.56756,3.21906,D
2026-01-04,Mallorca,Girona,1,2,1.48338,1.45714,A
2026-01-04,Sociedad,Ath Madrid,1,1,1.70649,1.37325,D
2026-01-09,Getafe,Sociedad,1,2,0.240168,1.25801,A
2026-01-10,Oviedo,Betis,1,1,1.01026,2.70809,D
2026-01-10,Villarreal,Alaves,3,1,1.38322,0.844572,H
2026-01-10,Girona,Osasuna,1,0,0.984024,1.22674,H
2026-01-10,Valencia,Elche,1,1,2.04147,0.244413,D
2026-01-11,Vallecano,Mallorca,2,1,2.05105,1.05743,H
2026-01-11,Levante,Espanol,1,1,1.18232,1.58922,D
2026-01-12,Sevilla,Celta,0,1,0.262521,2.07629,A
2026-01-16,Espanol,Girona,0,2,1.26738,1.82377,A
2026-01-17,Real Madrid,Levante,2,0,2.54865,0.787501,H
2026-01-17,Mallorca,Ath Bilbao,3,2,3.11432,2.28242,H
2026-01-17,Osasuna,Oviedo,3,2,2.03551,1.36173,H
2026-01-17,Betis,Villarreal,2,0,1.34951,1.17907,H
2026-01-18,Getafe,Valencia,0,1,0.584591,0.746856,A
2026-01-18,Ath Madrid,Alaves,1,0,1.7743,1.21004,H
2026-01-18,Celta,Vallecano,3,0,1.90274,1.31932,H
2026-01-18,Sociedad,Barcelona,2,1,1.55875,3.92031,H
2026-01-19,Elche,Sevilla,2,2,1.48075,2.4961,D
2026-01-23,Levante,Elche,3,2,3.24455,0.632971,H
2026-01-24,Vallecano,Osasuna,1,3,0.669564,1.36861,A
2026-01-24,Valencia,Espanol,3,2,2.76956,1.75941,H
2026-01-24,Sevilla,Ath Bilbao,2,1,1.43055,1.91259,H
2026-01-24,Villarreal,Real Madrid,0,2,0.952831,1.62206,A
2026-01-25,Ath Madrid,Mallorca,3,0,1.42501,0.367893,H
2026-01-25,Barcelona,Oviedo,3,0,2.59917,0.486404,H
2026-01-25,Sociedad,Celta,3,1,2.15496,1.63115,H
2026-01-25,Alaves,Betis,2,1,1.67102,1.78662,H
2026-01-26,Girona,Getafe,1,1,1.01571,1.1089,D
2026-01-30,Espanol,Alaves,1,2,1.20096,1.32248,A
2026-01-31,Oviedo,Girona,1,0,1.26601,0.664225,H
2026-01-31,Osasuna,Villarreal,2,2,2.13467,0.911128,D
2026-01-31,Levante,Ath Madrid,0,0,0.41109,0.615283,D
2026-01-31,Elche,Barcelona,1,3,0.839,7.11049,A
2026-02-01,Real Madrid,Vallecano,2,1,2.30208,1.06935,H
2026-02-01,Betis,Valencia,2,1,2.16883,1.88674,H
2026-02-01,Getafe,Celta,0,0,0.499866,0.256881,D
2026-02-01,Ath Bilbao,Sociedad,1,1,0.893754,1.58578,D
2026-02-02,Mallorca,Sevilla,4,1,3.04346,1.24318,H
2026-02-06,Celta,Osasuna,1,2,2.0351,1.00253,A
2026-02-07,Barcelona,Mallorca,3,0,2.48168,1.01087,H
2026-02-07,Sociedad,Elche,3,1,1.7719,1.08664,H
2026-02-08,Alaves,Getafe,0,2,3.01162,1.7859,A
2026-02-08,Ath Bilbao,Levante,4,2,2.77377,0.615311,H
2026-02-08,Sevilla,Girona,1,1,0.958247,2.60199,D
2026-02-08,Ath Madrid,Betis,0,1,0.625525,0.839838,A
2026-02-08,Valencia,Real Madrid,0,2,0.571838,1.04576,A
2026-02-09,Villarreal,Espanol,4,1,1.53925,0.744747,H
2026-02-13,Elche,Osasuna,0,0,2.33332,0.81264,D
2026-02-14,Espanol,Celta,2,2,1.16112,2.81494,D
2026-02-14,Getafe,Villarreal,2,1,1.61761,0.969388,H
2026-02-14,Sevilla,Alaves,1,1,0.354256,1.38983,D
2026-02-14,Real Madrid,Sociedad,4,1,3.05918,1.66018,H
2026-02-15,Oviedo,Ath Bilbao,1,2,0.861013,1.20566,A
2026-02-15,Vallecano,Ath Madrid,3,0,2.75329,0.752854,H
2026-02-15,Levante,Valencia,0,2,1.45737,0.743814,A
2026-02-15,Mallorca,Betis,1,2,0.731317,2.04841,A
2026-02-16,Girona,Barcelona,2,1,2.8897,2.69655,H
2026-02-18,Levante,Villarreal,0,1,0.774339,2.40024,A
2026-02-20,Ath Bilbao,Elche,2,1,3.38352,0.783583,H
2026-02-21,Sociedad,Oviedo,3,3,2.77486,1.75088,D
2026-02-21,Betis,Vallecano,1,1,2.13548,1.30345,D
2026-02-21,Osasuna,Real Madrid,2,1,2.31248,2.02307,H
2026-02-21,Ath Madrid,Espanol,4,2,3.28587,1.04114,H
2026-02-22,Getafe,Sevilla,0,1,0.250539,0.283172,A
2026-02-22,Barcelona,Levante,3,0,4.24402,0.602552,H
2026-02-22,Celta,Mallorca,2,0,2.93904,0.0207331,H
2026-02-22,Villarreal,Valencia,2,1,2.38144,1.91256,H
2026-02-23,Alaves,Girona,2,2,2.1366,2.05717,D
2026-02-27,Levante,Alaves,2,0,2.77253,1.29855,H
2026-02-28,Vallecano,Ath Bilbao,1,1,1.35951,0.428457,D
2026-02-28,Barcelona,Villarreal,4,1,3.54743,1.36182,H
2026-02-28,Mallorca,Sociedad,0,1,0.754182,0.929702,A
2026-02-28,Oviedo,Ath Madrid,0,1,1.50089,0.853142,A
2026-03-01,Elche,Espanol,2,2,1.82376,0.834858,D
2026-03-01,Valencia,Osasuna,1,0,1.31076,0.259132,H
2026-03-01,Betis,Sevilla,2,2,1.48441,0.656164,D
2026-03-01,Girona,Celta,1,2,1.57036,0.697106,A
2026-03-02,Real Madrid,Getafe,0,1,2.02274,0.476324,A
2026-03-04,Vallecano,Oviedo,3,0,2.55086,1.01052,H
2026-03-06,Celta,Real Madrid,1,2,0.910298,0.637644,A
2026-03-07,Osasuna,Mallorca,2,2,3.09031,1.03165,D
2026-03-07,Levante,Girona,1,1,0.819009,1.917,D
2026-03-07,Ath Madrid,Sociedad,3,2,3.57972,0.313932,H
2026-03-07,Ath Bilbao,Barcelona,0,1,1.04698,0.560009,A
2026-03-08,Villarreal,Elche,2,1,2.30632,1.62051,H
2026-03-08,Getafe,Betis,2,0,0.821088,1.24912,H
2026-03-08,Sevilla,Vallecano,1,1,1.14573,0.211673,D
2026-03-08,Valencia,Alaves,3,2,2.51657,1.60795,H
