date,home_team,away_team,home_goals,away_goals,home_xg,away_xg,result
2025-01-15,Everton,Aston Villa,0,1,1.23126,1.28522,A
2025-01-15,Leicester,Crystal Palace,0,2,2.09904,2.2647,A
2025-01-15,Newcastle,Wolves,3,0,2.13327,1.47433,H
2025-01-15,Arsenal,Tottenham,2,1,2.25501,0.777071,H
2025-01-16,Ipswich,Brighton,0,2,0.268127,1.06343,A
2025-01-16,Man United,Southampton,3,1,3.10847,1.36705,H
2025-01-18,Newcastle,Bournemouth,1,4,0.837801,2.70174,A
2025-01-18,Brentford,Liverpool,0,2,1.20021,4.16249,A
2025-01-18,Leicester,Fulham,0,2,0.676934,2.36823,A
2025-01-18,West Ham,Crystal Palace,0,2,0.221062,1.62561,A
2025-01-18,Arsenal,Aston Villa,2,2,1.64458,1.20602,D
2025-01-19,Everton,Tottenham,3,2,2.56089,1.35719,H
2025-01-19,Man United,Brighton,1,3,1.31823,2.17172,A
2025-01-19,Nott'm Forest,Southampton,3,2,2.36419,1.25922,H
2025-01-19,Ipswich,Man City,0,6,0.795637,3.20228,A
2025-01-20,Chelsea,Wolves,3,1,3.14882,1.06726,H
2025-01-25,Bournemouth,Nott'm Forest,5,0,2.8254,0.996166,H
2025-01-25,Brighton,Everton,0,1,0.64378,0.870883,A
2025-01-25,Liverpool,Ipswich,4,1,2.16809,0.804707,H
2025-01-25,Southampton,Newcastle,1,3,0.825621,3.08319,A
2025-01-25,Wolves,Arsenal,0,1,0.514724,0.887358,A
2025-01-25,Man City,Chelsea,3,1,2.23213,1.49843,H
2025-01-26,Crystal Palace,Brentford,1,2,1.23177,1.92037,A
2025-01-26,Tottenham,Leicester,1,2,1.27483,1.40469,A
2025-01-26,Aston Villa,West Ham,1,1,0.907851,1.67886,D
2025-01-26,Fulham,Man United,0,1,0.560571,0.201988,A
2025-02-01,Nott'm Forest,Brighton,7,0,4.0677,0.756296,H
2025-02-01,Bournemouth,Liverpool,0,2,1.65273,2.7219,A
2025-02-01,Everton,Leicester,4,0,3.11261,0.447136,H
2025-02-01,Ipswich,Southampton,1,2,1.94845,1.17566,A
2025-02-01,Newcastle,Fulham,1,2,1.22716,1.60881,A
2025-02-01,Wolves,Aston Villa,2,0,2.00146,0.742809,H
2025-02-02,Brentford,Tottenham,0,2,1.66475,0.945355,A
2025-02-02,Man United,Crystal Palace,0,2,1.50706,2.44633,A
2025-02-02,Arsenal,Man City,5,1,1.53202,0.743191,H
2025-02-03,Chelsea,West Ham,2,1,1.39066,1.1868,H
2025-02-12,Everton,Liverpool,2,2,0.910523,0.929103,D
2025-02-14,Brighton,Chelsea,3,0,2.06892,0.649788,H
2025-02-15,Leicester,Arsenal,0,2,0.233209,1.75,A
2025-02-15,Aston Villa,Ipswich,1,1,2.89841,0.332864,D
2025-02-15,Fulham,Nott'm Forest,2,1,2.20993,0.331301,H
2025-02-15,Man City,Newcastle,4,0,2.12004,0.157211,H
2025-02-15,Southampton,Bournemouth,1,3,0.974418,2.08722,A
2025-02-15,West Ham,Brentford,0,1,0.673466,1.96499,A
2025-02-15,Crystal Palace,Everton,1,2,2.30646,1.01565,A
2025-02-16,Liverpool,Wolves,2,1,1.86758,1.05329,H
2025-02-16,Tottenham,Man United,1,0,1.97109,1.42652,H
2025-02-19,Aston Villa,Liverpool,2,2,1.02269,2.04279,D
2025-02-21,Leicester,Brentford,0,4,0.727901,2.03465,A
2025-02-22,Everton,Man United,2,2,2.10444,0.645685,D
2025-02-22,Bournemouth,Wolves,0,1,0.629691,2.10124,A
2025-02-22,Arsenal,West Ham,0,1,1.37264,1.02684,A
2025-02-22,Fulham,Crystal Palace,0,2,0.23426,1.46203,A
2025-02-22,Ipswich,Tottenham,1,4,1.15389,1.58741,A
2025-02-22,Southampton,Brighton,0,4,0.154147,5.12018,A
2025-02-22,Aston Villa,Chelsea,2,1,2.69413,2.17418,H
2025-02-23,Newcastle,Nott'm Forest,4,3,3.45858,2.38603,H
2025-02-23,Man City,Liverpool,0,2,0.58248,0.807058,A
2025-02-25,Brighton,Bournemouth,2,1,2.57927,1.70169,H
2025-02-25,Wolves,Fulham,1,2,0.928973,1.43473,A
2025-02-25,Crystal Palace,Aston Villa,4,1,4.02522,0.667217,H
2025-02-25,Chelsea,Southampton,4,0,2.98234,0.845039,H
2025-02-26,Brentford,Everton,1,1,1.34009,1.44955,D
2025-02-26,Nott'm Forest,Arsenal,0,0,0.508611,1.31766,D
2025-02-26,Tottenham,Man City,0,1,1.28426,2.38641,A
2025-02-26,Man United,Ipswich,3,2,1.40202,1.04498,H
2025-02-26,Liverpool,Newcastle,2,0,1.40027,0.45882,H
2025-02-27,West Ham,Leicester,2,0,1.70437,0.289578,H
2025-03-08,Nott'm Forest,Man City,1,0,0.501476,0.721234,H
2025-03-08,Brighton,Fulham,2,1,1.94417,0.708227,H
2025-03-08,Crystal Palace,Ipswich,1,0,3.13879,1.63282,H
2025-03-08,Liverpool,Southampton,3,1,4.98996,0.511566,H
2025-03-08,Brentford,Aston Villa,0,1,0.637743,1.29638,A
2025-03-08,Wolves,Everton,1,1,0.812432,1.3672,D
2025-03-09,Chelsea,Leicester,1,0,1.76844,0.108487,H
2025-03-09,Tottenham,Bournemouth,2,2,1.35053,2.22536,D
2025-03-09,Man United,Arsenal,1,1,1.31107,1.82996,D
2025-03-10,West Ham,Newcastle,0,1,0.823986,1.62976,A
2025-03-15,Everton,West Ham,1,1,1.189,0.516029,D
2025-03-15,Ipswich,Nott'm Forest,2,4,0.520839,1.30722,A
2025-03-15,Man City,Brighton,2,2,2.02642,2.11119,D
2025-03-15,Southampton,Wolves,1,2,1.2821,0.540718,A
2025-03-15,Bournemouth,Brentford,1,2,2.02714,1.60321,A
2025-03-16,Arsenal,Chelsea,1,0,0.695725,0.286036,H
2025-03-16,Fulham,Tottenham,2,0,1.03966,1.40865,H
2025-03-16,Leicester,Man United,0,3,1.30455,1.13892,A
2025-04-01,Arsenal,Fulham,2,1,2.30189,1.44206,H
2025-04-01,Wolves,West Ham,1,0,1.10359,1.73057,H
2025-04-01,Nott'm Forest,Man United,1,0,0.512063,1.86688,H
2025-04-02,Brighton,Aston Villa,0,3,0.558009,1.20715,A
2025-04-02,Bournemouth,Ipswich,1,2,1.99637,1.41263,A
2025-04-02,Man City,Leicester,2,0,2.07165,0.104741,H
2025-04-02,Newcastle,Brentford,2,1,2.26584,1.53201,H
2025-04-02,Southampton,Crystal Palace,1,1,0.687304,0.93776,D
2025-04-02,Liverpool,Everton,1,0,1.29718,0.823136,H
2025-04-03,Chelsea,Tottenham,1,0,1.30443,1.40274,H
2025-04-05,Everton,Arsenal,1,1,1.22875,1.4031,D
2025-04-05,Crystal Palace,Brighton,2,1,0.443965,1.27226,H
2025-04-05,Ipswich,Wolves,1,2,0.872356,2.8096,A
2025-04-05,West Ham,Bournemouth,2,2,0.907832,1.94869,D
2025-04-05,Aston Villa,Nott'm Forest,2,1,2.63349,0.96769,H
2025-04-06,Brentford,Chelsea,0,0,1.36123,1.47829,D
2025-04-06,Fulham,Liverpool,3,2,1.72764,1.40638,H
2025-04-06,Tottenham,Southampton,3,1,2.648,0.780439,H
2025-04-06,Man United,Man City,0,0,1.23317,0.687894,D
2025-04-07,Leicester,Newcastle,0,3,0.354575,3.44111,A
